,playlistnumber,songname,id,artistname,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,index,acousticness_scaled,danceability_scaled,duration_ms_scaled,energy_scaled,instrumentalness_scaled,key_scaled,liveness_scaled,loudness_scaled,mode_scaled,speechiness_scaled,tempo_scaled,valence_scaled
64,1,"Tera Ban Jaunga (From ""Kabir Singh"")",4OcvkkpF3xmyCGGY5IBlgi,Akhil Sachdeva,0.822,0.605,236437,0.53,0,11,0.131,-6.346,1,0.0246,93.951,0.399,65,2.114386959,-0.497481405,-0.465146279,-1.115638164,-0.170660919,1.552883545,-0.298500247,0.130895943,0.705396726,-0.746596129,-0.905037102,-1.075890307
65,1,Dil Mere,6ZmtxXUXRVjxOhugKkmerC,The Local Train,0.842,0.655,211290,0.473,0.0323,8,0.167,-9.806,1,0.0267,92.962,0.572,66,2.195591733,-0.134322088,-0.853588689,-1.45528886,0.681696877,0.712754576,-0.040190738,-1.363982556,0.705396726,-0.719589284,-0.945132641,-0.269138801
66,1,Aaoge Tum Kabhi,5VSJ9OfZx8V91A7u8Fuoh1,The Local Train,0.0152,0.534,313163,0.863,0.0167,0,0.144,-4.616,1,0.0357,98.006,0.374,67,-1.161413625,-1.013167635,0.720030178,0.868636951,0.270031811,-1.527589339,-0.205221813,0.878335193,0.705396726,-0.603845665,-0.740641337,-1.192472895
67,1,Barso,2mv5anj69awqE6R936e0hZ,Ritviz,0.0265,0.536,257143,0.829,0.00659,2,0.124,-6.831,1,0.0318,140.045,0.0379,68,-1.115532928,-0.998641262,-0.145303413,0.666038291,0.003241182,-0.96750336,-0.348727096,-0.078646274,0.705396726,-0.654001233,0.963682599,-2.759809202
68,1,Naina,3SHopOL3KEJ8PFl3vJdfmF,Sona Mohapatra,0.636,0.505,225569,0.556,0,3,0.123,-7.49,1,0.0389,160.068,0.367,69,1.359182561,-1.223800039,-0.633022849,-0.960709777,-0.170660919,-0.687460371,-0.35590236,-0.363364462,0.705396726,-0.562692378,1.775444966,-1.225116019
69,1,Allah Ke Bande,6Y1cH3RzDCMWGQtOS0HmP8,Kailash Kher,0.795,0.543,246883,0.44,0,7,0.224,-8.595,1,0.0597,125.53,0.726,70,2.004760514,-0.947798958,-0.303788287,-1.651928736,-0.170660919,0.432711587,0.368799319,-0.840775081,0.705396726,-0.295196012,0.375222789,0.449009939
70,1,Sawaar Loon,29YePgOxuPLfU7uZKxKf6w,Monali Thakur,0.497,0.82,254700,0.645,6.89E-05,5,0.118,-6.873,1,0.0433,111.935,0.789,71,0.794809381,1.064103658,-0.183040114,-0.430377989,-0.168842732,-0.127374392,-0.391778681,-0.096792198,0.705396726,-0.506106608,-0.175938844,0.742798059
71,1,Maana Ke Hum Yaar Nahin,1O3WfEwaSpsgZ6tw8jNT8I,Parineeti Chopra,0.815,0.537,264614,0.367,0,8,0.132,-9.362,1,0.0241,90.953,0.348,72,2.085965288,-0.991378076,-0.029899856,-2.086919977,-0.170660919,0.712754576,-0.291324983,-1.172154217,0.705396726,-0.75302633,-1.026580506,-1.313718786
72,1,Tune Kaha,1gWtHDe403RuyZqhvSRcv8,Prateek Kuhad,0.015,0.362,216886,0.763,0.00481,3,0.237,-8.514,1,0.0589,187.291,0.431,73,-1.162225673,-2.262435685,-0.767148011,0.272758538,-0.043730857,-0.687460371,0.462077753,-0.805779371,0.705396726,-0.305484334,2.879106103,-0.926664595
73,1,Pehla Pyaar,0ojpEubhy4JNeVftmVuiN7,Armaan Malik,0.558,0.607,272533,0.713,4.98E-05,4,0.101,-5.105,1,0.03,124.87,0.611,74,1.042483942,-0.482955032,0.092423898,-0.025180668,-0.169346758,-0.407417381,-0.513758172,0.667064792,0.705396726,-0.677149957,0.348465402,-0.087269964
