playlistnumber,songname,id,artistname,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
2,Din Shagna Da,20rwogC6aE369YsxFb5aRp,Jasleen Royal,0.802,0.583,215305,0.452,0.00632,11,0.143,-10.459,0,0.026,79.999,0.327
2,Saturday Saturday,7MvQQGqYE4r0ucTarmI2Gr,Badshah,0.149,0.847,210799,0.938,0,8,0.107,-4.615,1,0.0974,130.02,0.786
2,Sweety Tera Drama,5aXsYlFhJIOHCvxnna7jdP,Dev Negi,0.16,0.769,146983,0.852,0,5,0.261,-3.107,1,0.154,129.982,0.963
2,Chittiyaan Kalaiyaan,6XjJXPP3UiGtAQpYkD01c0,Kanika Kapoor,0.0962,0.793,246100,0.887,6.39E-05,7,0.623,-5.285,1,0.0954,100.007,0.602
2,High Heels,7q7eYVerltlW2sYBuga6Mj,Yo Yo Honey Singh,0.394,0.891,297771,0.913,0.000173,1,0.373,-4.453,1,0.149,130.045,0.772
2,Proper Patola,39ujbBjTwwqUFySaCYDMMT,Badshah,0.485,0.77,178605,0.824,0,1,0.318,-6.491,0,0.0851,172.006,0.49
2,Zingaat,5raWEZXYAapq6Qw1GIEIkU,Ajay-Atul,0.359,0.834,226502,0.788,0.27,6,0.396,-7.294,0,0.213,130.032,0.705
2,Muqabala Muqabala,0iG83qZ0ftWr43VggRYkp3,Swarnalatha,0.102,0.87,328893,0.563,0.000232,0,0.0895,-11.493,1,0.124,119.782,0.537
2,Sweetheart,6qrb4ganbSTzcDDOo1pzMT,Dev Negi,0.376,0.768,212196,0.806,1.65E-06,8,0.0787,-6.277,1,0.0517,123.039,0.925
2,O O Jaane Jaana,7fl15uWBpbKrzrmEm48ZyP,Kamaal Khan,0.122,0.781,345240,0.766,0.000104,7,0.121,-8.728,1,0.0564,106.193,0.798
2,Illegal Weapon,3Oe3VdPn6rAueriQvFhCBA,Jasmine Sandlas,0.488,0.814,230000,0.666,4.23E-05,6,0.108,-6.555,1,0.0635,94.02,0.714
2,"Desi Girl (From ""Dostana"")",5yDtBUvjNse5mr5887lj59,Sunidhi Chauhan,0.0169,0.746,306987,0.924,0.00279,8,0.097,-6.057,1,0.0442,136.051,0.807
2,Gallan Goodiyaan,7hNYvX0qAKrxtVr1jGDmvR,Farhan Akhtar,0.134,0.83,296500,0.858,1.72E-05,6,0.0567,-3.18,0,0.0554,119.974,0.949
2,Chand Sifarish,5EYZZvmNAH5VZCwuzYJqoA,Shaan,0.242,0.829,275931,0.665,1.75E-05,2,0.123,-8.128,1,0.0868,122.043,0.861
2,"Sooraj Dooba Hain (From ""Roy"")",5HcBFhFQEtqKrsRkr95XYu,Arijit Singh,0.172,0.616,264854,0.75,0,2,0.137,-4.629,1,0.0594,128.051,0.434
2,Challa,2r6UZZ1JdRsDlfIQHKDjST,Shashwat Sachdev,0.105,0.762,207781,0.718,1.93E-06,1,0.118,-5.039,1,0.12,98.019,0.718
2,Bheegi Si Bhaagi Si,665b3Nss3OQmhTUdB5hBXw,Mohit Chauhan,0.361,0.564,278093,0.867,0,8,0.262,-6.21,1,0.121,88.919,0.815
2,Agar Tum Saath Ho,70W29IwaPMRo86tCan6tqI,Arijit Singh,0.551,0.558,341185,0.521,0.000212,3,0.189,-8.798,1,0.0333,122.925,0.409
2,Jab Koi Baat - Recreated,43GfQ1SC17rBWiHkOtdwK8,Atif Aslam,0.47,0.667,192229,0.621,4.15E-05,5,0.13,-5.697,1,0.0271,106.032,0.451
